FileName :  HTSS_WDSMajor_Olivine_profiles_Sarah_redux.qtiDat
Signal(s) Used : Mg Ka, Si Ka, Fe Ka, Al Ka, P  Ka, Ca Ka, Ti Ka, Cr Ka, Mn Ka, Ni Ka
Spectrometers Conditions :  Sp2 LTAP,  Sp4 TAP,  Sp5 LLIF,  Sp2 LTAP,  Sp3 LPET,  Sp1 PET,  Sp3 LPET,  Sp1 PET,  Sp5 LLIF,  Sp5 LLIF
Full Spectrometers Conditions :  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp1 PET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp1 PET(2d= 8.75,K= 0.000144),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05)
Column Conditions : Cond 1 : 15keV 10nA , Cond 2 : 15keV 300nA 
	, Cond 1 : Mg Ka, Si Ka, Fe Ka
	, Cond 2 : Al Ka, P  Ka, Ca Ka, Ti Ka, Cr Ka, Mn Ka, Ni Ka
Date : Feb-04-2021
User Name : SX978-PC\SX
Setup Name : D:\sxpc\Analysis Setups\Quanti\HTSC_013021_olivine.qtiSet
DataSet Comment : San_Carlos_EDS_37
Comment :  
Analysis Date : Wednesday, February 3, 2021 10:38:12 AM
Project Name : Default Project
Sample Name : Default Sample
Analysis Parameters : 	
Sp	Elements	Xtal	Position	Bg1	Bg2	Slope	Bias	Gain	Dtime	Blin	Wind	Mode	
Sp2	Mg Ka		LTAP	38517	-1150	1150	   	1312	3055	3	560	 	Inte
Sp4	Si Ka		TAP	27740	   	750	1.1	1322	3091	3	560	 	Inte
Sp5	Fe Ka		LLIF	48081	   	950	1.1	1828	433	3	560	 	Inte
Sp2	Al Ka		LTAP	32477	   	800	1.2	1314	3055	3	560	 	Inte
Sp3	P  Ka		LPET	70319	-500	500	   	1846	974	3	560	 	Inte
Sp1	Ca Ka		PET	38388	   	700	1.1	1307	1026	3	560	 	Inte
Sp3	Ti Ka		LPET	31401	   	650	1.05	1856	1060	3	560	 	Inte
Sp1	Cr Ka		PET	26156	-500	500	   	1306	1033	3	560	 	Inte
Sp5	Mn Ka		LLIF	52191	-550	550	   	1831	436	3	560	 	Inte
Sp5	Ni Ka		LLIF	41173	-550	550	   	1828	418	3	560	 	Inte
Peak Position :  Sp2 38517 (-1150, 1150),  Sp4 27740 (750, Slope = 1.1),  Sp5 48081 (950, Slope = 1.1),  Sp2 32477 (800, Slope = 1.2),  Sp3 70319 (-500, 500),  Sp1 38388 (700, Slope = 1.1),  Sp3 31401 (650, Slope = 1.05),  Sp1 26156 (-500, 500),  Sp5 52191 (-550, 550),  Sp5 41173 (-550, 550)
Current Sample Position :  X = -6404 Y = 32966 Z = -485 BeamX = 0.00 BeamX = 0.00
Standard Name : 
Mg ,Si On SCOliv
Fe On FayalB6
Al ,Ca On anorthite
P  On Apatite
Ti On RUTILE_6
Cr On MgCr2O4
Mn On Rhodonite
Ni On diop_ni
Standard composition : 
SCOliv = Si : 19.08%, Fe : 7.42%, Mn : 0.11%, Mg : 29.80%, Ni : 0.29%, Ca : 0.02%, O  : 43.28%
FayalB6 = O  : 31.78%, Si : 13.66%, Ti : 0.02%, Mn : 1.66%, Fe : 52.51%, Zn : 0.38%
anorthite = Si : 20.61%, Ti : 0.01%, Al : 18.77%, Fe : 0.36%, Mg : 0.05%, Ca : 13.90%, Na : 0.30%, P  : 0.01%, Ba : 0.01%, Sr : 0.03%, O  : 45.98%
Apatite = Si : 0.12%, Al : 0.01%, Fe : 0.05%, Ca : 39.27%, Na : 0.18%, P  : 17.77%, F  : 3.40%, Sr : 0.39%, S  : 0.24%, O  : 39.27%
RUTILE_6 = Ti : 59.95%, O  : 40.05%
MgCr2O4 = Mg : 12.64%, Cr : 54.08%, O  : 33.28%
Rhodonite = Si : 21.98%, Fe : 1.80%, Ca : 1.06%, Mg : 2.36%, Mn : 35.01%, O  : 37.73%
diop_ni = Si : 24.91%, Al : 0.45%, Fe : 0.12%, Mg : 8.62%, Ca : 17.87%, Ni : 5.06%, O  : 43.01%
Calibration file name (Element intensity cps/nA) : 
Mg ,Si : Other\SCOliv_15kV_MgKa-Sp2-LTAP_SiKa-Sp4-TAP_004.calDat (Mg : 884.9 cps/nA, Si : 359.3 cps/nA)
Fe : Other\FayalB6_15kV_FeKa-Sp5-LLIF_011.calDat (Fe : 320.3 cps/nA)
Al ,Ca : Other\anorthite_15kV_AlKa-Sp2-LTAP_CaKa-Sp1-PET_002.calDat (Al : 777.3 cps/nA, Ca : 73.8 cps/nA)
P  : Other\Apatite_15kV_PKa-Sp3-LPET_003.calDat (P  : 111.5 cps/nA)
Ti : Other\RUTILE_6_15kV_TiKa-Sp3-LPET_016.calDat (Ti : 1578.1 cps/nA)
Cr : Other\MgCr2O4_15kV_CrKa-Sp1-PET_004.calDat (Cr : 247.6 cps/nA)
Mn : Other\Rhodonite_15kV_MnKa-Sp5-LLIF_015.calDat (Mn : 194.3 cps/nA)
Ni : Other\diop_ni_15kV_NiKa-Sp5-LLIF_016.calDat (Ni : 25.5 cps/nA)
Beam Size : 0, 0 ?m

	Weight%	Atomic%	Oxide	Det.Lim ppm(A)	StdDev wt%	

DataSet/Point	Mg	Si	Fe	Al	P 	Ca	Ti	Cr	Mn	Ni	O 	Total	Mg	Si	Fe	Al	P 	Ca	Ti	Cr	Mn	Ni	O 	Total	MgO	SiO2	FeO	Al2O3	P2O5	CaO	TiO2	Cr2O3	MnO	NiO	Total	Mg	Si	Fe	Al	P 	Ca	Ti	Cr	Mn	Ni	O 	Mg	Si	Fe	Al	P 	Ca	Ti	Cr	Mn	Ni	O 	 X 	 Y 	 Z 	 Beam X 	 Beam Y 	Comment	Distance (?)	Mean Z	Point#	Date
1 / 1 . 	20.643590	18.433440	19.126030	0.003521	0.003831	0.102526	0.008739	0.003066	0.344684	0.016162	40.232790	98.918370	19.425730	15.011080	7.832724	0.002984	0.002829	0.058505	0.004173	0.001349	0.143495	0.006296	57.510830	100.000000	34.233230	39.436010	24.605560	0.006652	0.008779	0.143454	0.014577	0.004481	0.445068	0.020567	98.918380	248	344	1049	18	35	86	41	110	83	95		0.268293	0.263819	0.620637	0.001481	0.002982	0.008321	0.003439	0.009212	0.010897	0.008089		7321.0	1467.0	-615.0	 	 	AC4_EUH94_recon	0.00	13.364200	1	Sunday, January 31, 2021 12:14:20 PM	
1 / 2 . 	22.224150	17.857810	19.131170	0.003983	0.002471	0.098486	0.008988	0.000347	0.332340	0.017347	40.611570	100.288700	20.593140	14.319880	7.714980	0.003324	0.001797	0.055340	0.004226	0.000150	0.136240	0.006654	57.164270	100.000000	36.854270	38.204530	24.612170	0.007525	0.005662	0.137802	0.014992	0.000506	0.429130	0.022074	100.288700	253	370	1131	18	36	85	41	111	83	96		0.283904	0.258805	0.621914	0.001531	0.003055	0.008187	0.003434	0.009229	0.010786	0.008161		7315.3	1496.0	-615.0	 	 	AC4_EUH94_recon	29.55	13.500610	2	Sunday, January 31, 2021 12:19:33 PM	
1 / 3 . 	22.553740	17.733090	19.066300	0.004092	0.002979	0.095436	0.009207	0.000010	0.322987	0.019878	40.665350	100.473100	20.846270	14.184300	7.669590	0.003407	0.002161	0.053492	0.004318	0.000004	0.132074	0.007606	57.096780	100.000000	37.400820	37.937720	24.528720	0.007733	0.006827	0.133534	0.015358	0.000015	0.417052	0.025295	100.473100	257	334	1029	18	36	87	41		83	95		0.287171	0.257347	0.619088	0.001535	0.003030	0.008269	0.003431	-0.000027	0.010673	0.008102		7309.7	1525.0	-615.0	 	 	AC4_EUH94_recon	59.10	13.507960	3	Sunday, January 31, 2021 12:24:43 PM	
1 / 4 . 	22.602840	17.674760	18.790800	0.003805	0.003339	0.099330	0.009394	0.001609	0.309889	0.019061	40.550870	100.065700	20.949380	14.176700	7.579649	0.003177	0.002428	0.055829	0.004418	0.000697	0.127068	0.007314	57.093350	100.000000	37.482260	37.812920	24.174290	0.007190	0.007650	0.138983	0.015669	0.002352	0.400140	0.024256	100.065700	256	356	1072	18	36	86	41	110	81	95		0.287560	0.256981	0.612462	0.001543	0.003065	0.008260	0.003421	0.009164	0.010442	0.008109		7304.0	1554.0	-615.0	 	 	AC4_EUH94_recon	88.65	13.422610	4	Sunday, January 31, 2021 12:29:51 PM	
2 / 1 . 	22.089220	17.287040	19.740960	0.004287	0.005658	0.111094	0.014788	0.000010	0.381622	0.004948	40.071250	99.710870	20.689430	14.012070	8.046966	0.003617	0.004158	0.063099	0.007028	0.000004	0.158134	0.001919	57.013570	100.000000	36.630520	36.983440	25.396660	0.008100	0.012964	0.155442	0.024666	0.000015	0.492764	0.006297	99.710860	252	330	1157	19	36	86	41		83	97		0.282829	0.252674	0.637721	0.001580	0.003174	0.008424	0.003456	-0.000057	0.011280	0.008090		9241.0	3302.0	-623.0	 	 	AC4_EUH95_recon	2655.88	13.532910	5	Sunday, January 31, 2021 12:35:01 PM	
2 / 2 . 	22.064770	17.455800	19.822070	0.004993	0.004745	0.100728	0.011988	0.005196	0.373446	0.011856	40.266000	100.121600	20.580440	14.089920	8.046371	0.004195	0.003473	0.056973	0.005673	0.002265	0.154101	0.004578	57.052020	100.000000	36.589970	37.344480	25.501010	0.009435	0.010872	0.140938	0.019996	0.007594	0.482207	0.015087	100.121600	251	336	1135	19	37	86	41	109	83	96		0.282696	0.254544	0.639783	0.001560	0.003157	0.008283	0.003440	0.009124	0.011186	0.008083		9248.0	3275.0	-623.0	 	 	AC4_EUH95_recon	2642.40	13.588670	6	Sunday, January 31, 2021 12:40:09 PM	
2 / 3 . 	22.175040	17.359360	19.665050	0.004300	0.008237	0.101611	0.010089	0.000010	0.357740	0.012005	40.179780	99.873230	20.718090	14.035660	7.996067	0.003619	0.006039	0.057570	0.004783	0.000004	0.147869	0.004643	57.025650	99.999990	36.772820	37.138160	25.299010	0.008125	0.018874	0.142174	0.016828	0.000015	0.461927	0.015277	99.873220	262	372	1134	19	36	85	41		82	95		0.291204	0.262940	0.649438	0.001563	0.003172	0.008196	0.003446	-0.000173	0.010992	0.007985		9255.0	3248.0	-623.0	 	 	AC4_EUH95_recon	2629.14	13.535750	7	Sunday, January 31, 2021 12:45:14 PM	
2 / 4 . 	22.295220	17.475990	19.515770	0.005449	0.005666	0.100710	0.012135	0.000010	0.343550	0.015229	40.344460	100.114200	20.752660	14.077230	7.905756	0.004569	0.004139	0.056846	0.005732	0.000004	0.141473	0.005868	57.045730	100.000000	36.972120	37.387680	25.106960	0.010296	0.012984	0.140913	0.020242	0.000015	0.443605	0.019379	100.114200	256	361	1009	19	36	87	41		83	95		0.284859	0.255018	0.630430	0.001565	0.003131	0.008354	0.003436	-0.000107	0.010850	0.008049		9262.0	3221.0	-623.0	 	 	AC4_EUH95_recon	2616.12	13.538250	8	Sunday, January 31, 2021 12:50:24 PM	
3 / 1 . 	20.404680	18.101910	20.141100	0.003360	0.006712	0.127364	0.011592	0.000637	0.405811	0.005557	40.017790	99.226510	19.268090	14.792680	8.277287	0.002858	0.004974	0.072933	0.005554	0.000281	0.169534	0.002172	57.403630	100.000000	33.837040	38.726750	25.911440	0.006348	0.015380	0.178207	0.019336	0.000931	0.523998	0.007071	99.226500	251	354	1120	18	35	86	41	111	83	96		0.266344	0.260582	0.647543	0.001504	0.003114	0.008623	0.003456	0.009215	0.011537	0.008055		11313.0	2321.0	-630.0	 	 	AC4_EUH96_recon	4082.35	13.553570	9	Sunday, January 31, 2021 12:55:38 PM	
3 / 2 . 	20.974690	17.949380	19.688510	0.004143	0.002547	0.106539	0.009395	0.000054	0.379154	0.016942	40.070180	99.201520	19.750970	14.627020	8.068659	0.003515	0.001882	0.060837	0.004489	0.000024	0.157954	0.006604	57.318050	100.000000	34.782290	38.400440	25.329190	0.007829	0.005835	0.149070	0.015671	0.000080	0.489577	0.021558	99.201520	249	365	1109	18	36	87	41	111	83	96		0.271802	0.259316	0.635785	0.001512	0.003072	0.008404	0.003453	0.009210	0.011272	0.008123		11309.3	2345.7	-630.0	 	 	AC4_EUH96_recon	4084.00	13.478340	10	Sunday, January 31, 2021 1:00:46 PM	
