FileName :  HT_21022_OL49N Sarah_2.qtiDat																																																									
"Signal(s) Used : Mg Ka, Si Ka, Fe Ka, Al Ka, P  Ka, Mn Ka, Ni Ka, Ti Ka, Ca Ka, Al Ka, P  Ka, Mn Ka, Ni Ka, Ti Ka, Ca Ka"																																																									
"Spectrometers Conditions :  Sp2 LTAP,  Sp4 TAP,  Sp5 LLIF,  Sp2 LTAP,  Sp1 PET,  Sp5 LLIF,  Sp5 LLIF,  Sp3 LPET,  Sp1 PET,  Sp2 LTAP,  Sp1 PET,  Sp5 LLIF,  Sp5 LLIF,  Sp3 LPET,  Sp1 PET"																																																									
"Full Spectrometers Conditions :  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp1 PET(2d= 8.75,K= 0.000144),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp1 PET(2d= 8.75,K= 0.000144),  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp1 PET(2d= 8.75,K= 0.000144),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp1 PET(2d= 8.75,K= 0.000144)"																																																									
Column Conditions : Cond 1 : 15 keV 20 nA 																																																									
Date : Feb-12-2022																																																									
User Name : SX978-PC\SX																																																									
Setup Name : D:\sxpc\Analysis Setups\Quanti\EMutch-majorOl_021022.qtiSet																																																									
DataSet Comment : San_carlos_																																																									
Comment :  																																																									
"Analysis Date : Friday, February 11, 2022 4:24:32 AM "																																																									
Project Name : Default Project																																																									
Sample Name : Default Sample																																																									
Analysis Parameters : 																																																									
Sp	Elements	Xtal	Position	Bg1	Bg2	Slope	Bias	Gain	Dtime	Blin	Wind	Mode																																													
Sp2	Mg Ka		LTAP	38520	-1150	1150	   	1311	3055	3	560	 	Inte																																												
Sp4	Si Ka		TAP	27741	   	750	1.1	1323	3140	3	560	 	Inte																																												
Sp5	Fe Ka		LLIF	48079	   	950	1.05	1820	380	3	560	 	Inte																																												
Sp2	Al Ka		LTAP	32481	   	800	1.2	1308	3054	3	560	 	Inte																																												
Sp1	P  Ka		PET	70344	-850	850	   	1308	1027	3	560	 	Inte																																												
Sp5	Mn Ka		LLIF	52185	   	650	1.05	1820	378	3	560	 	Inte																																												
Sp5	Ni Ka		LLIF	41178	-550	550	   	1820	375	3	560	 	Inte																																												
Sp3	Ti Ka		LPET	31396	   	650	1.05	1843	959	3	560	 	Inte																																												
Sp1	Ca Ka		PET	38387	   	700	1.1	1304	1042	3	560	 	Inte																																												
Sp2	Al Ka		LTAP	32481	   	800	1.2	1308	3054	3	560	 	Inte																																												
Sp1	P  Ka		PET	70344	-850	850	   	1308	1027	3	560	 	Inte																																												
Sp5	Mn Ka		LLIF	52185	   	650	1.05	1820	378	3	560	 	Inte																																												
Sp5	Ni Ka		LLIF	41178	-550	550	   	1820	375	3	560	 	Inte																																												
Sp3	Ti Ka		LPET	31396	   	650	1.05	1843	959	3	560	 	Inte																																												
Sp1	Ca Ka		PET	38387	   	700	1.1	1304	1042	3	560	 	Inte																																												
"Peak Position :  Sp2 38520 (-1150, 1150),  Sp4 27741 (750, Slope = 1.1),  Sp5 48079 (950, Slope = 1.05),  Sp2 32481 (800, Slope = 1.2),  Sp1 70344 (-850, 850),  Sp5 52185 (650, Slope = 1.05),  Sp5 41178 (-550, 550),  Sp3 31396 (650, Slope = 1.05),  Sp1 38387 (700, Slope = 1.1),  Sp2 32481 (800, Slope = 1.2),  Sp1 70344 (-850, 850),  Sp5 52185 (650, Slope = 1.05),  Sp5 41178 (-550, 550),  Sp3 31396 (650, Slope = 1.05),  Sp1 38387 (700, Slope = 1.1)"																																																									
Current Sample Position :  X = 6919 Y = 31349 Z = 45 BeamX = 0.00 BeamX = 0.00																																																									
Standard Name : 																																																									
Mg On OlivSanCarl																																																									
"Si ,Al ,Al On kspar"																																																									
