FileName :   Towbin_GCB-SIMS-spots_20180702.qtiDat 
Signal(s) Used :  Na Ka, Mg Ka, Si Ka, Al Ka, Ti Ka, Ca Ka, Fe Ka, Ni Ka, Cr Ka, Mn Ka 
Spectromers Conditions :   Sp4 TAP,  Sp4 TAP,  Sp1 TAP,  Sp1 TAP,  Sp3 LPET,  Sp5 PET,  Sp2 LLIF,  Sp2 LLIF,  Sp3 LPET,  Sp5 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 TAP(2d= 25.745,K= 0.00218),  Sp1 TAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 PET(2d= 8.75,K= 0.000144),  Sp2 LLIF(2d= 4.0267,K= 0.000058),  Sp2 LLIF(2d= 4.0267,K= 0.000058),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 30nA  
Date :  3-Jul-2018 
User Name :  sx-user 
Setup Name :  Towbin_GCB-SIMS-spot_20nA-1um_20180702b.qtiSet 
DataSet Comment :  GCB1A_Scoria Ol2_A_Core_2 
Comment :   
Analysis Date :  7/3/2018 6:35:14 AM 
Project Name :  Default Project 
Sample Name :  Default Sample 
Analysis Parameters :  	 
 Sp	Elements	Xtal	Position	Bg+	Bg-	Slope	Bias	Gain	Dtime	Blin	Wind	Mode	 
 Sp4	Na Ka		TAP	46358		-750	800	   	1286	2509	3	560	 	Inte	 
 Sp4	Mg Ka		TAP	38489		-1150	1150	   	1287	2520	3	560	 	Inte	 
 Sp1	Si Ka		TAP	27732		   	750	1.1	1290	2570	3	560	 	Inte	 
 Sp1	Al Ka		TAP	32440		   	800	1.2	1291	2549	3	560	 	Inte	 
 Sp3	Ti Ka		LPET	31442		   	600	1.05	1851	915	3	560	 	Inte	 
 Sp5	Ca Ka		PET	38388		   	700	1.1	1302	910	3	560	 	Inte	 
 Sp2	Fe Ka		LLIF	48083		   	950	1.05	1815	368	3	560	 	Inte	 
 Sp2	Ni Ka		LLIF	41179		-550	550	   	1814	364	3	560	 	Inte	 
 Sp3	Cr Ka		LPET	26230		-500	500	   	1855	917	3	560	 	Inte	 
 Sp5	Mn Ka		PET	24045		-550	550	   	1298	889	3	560	 	Inte	 
Peak Position :   Sp4 46358 (-750, 800),  Sp4 38489 (-1150, 1150),  Sp1 27732 (750, 1.1),  Sp1 32440 (800, 1.2),  Sp3 31442 (600, 1.05),  Sp5 38388 (700, 1.1),  Sp2 48083 (950, 1.05),  Sp2 41179 (-550, 550),  Sp3 26230 (-500, 500),  Sp5 24045 (-550, 550) 
Current Sample Position :   X = 17339 Y = -821 Z = 129 
Standard Name :   
 Na On jade 
 Mg, Si, Ca On Wakefield 
 Al On kspar 
 Ti On TiO2 
 Fe On RKFAYb7 
 Ni On diop_ni 
 Cr On MgCr2O4 
 Mn On Rhodon 41522 AMNH 
Standard composition :   
 jade = O  : 47.6%, Na : 11.19%, Mg : 0.01%, Al : 13.22%, Si : 27.82%, K  : 0.01%, Ca : 0.07%, Ti : 0.02%, Cr : 0.01%, Mn : 0.01%, Fe : 0.05% 
 Wakefield = Si : 25.942%, Ti : 0.018%, Al : 0.021%, Fe : 0.086%, Mn : 0.015%, Mg : 11.216%, Ca : 18.582%, Na : 0.022%, O  : 44.427% 
 kspar = O  : 45.94%, Na : 0.85%, Al : 9.83%, Si : 30.1%, K  : 12.39%, Ba : 0.7% 
 TiO2 = Ti : 59.95%, O  : 40.05% 
 RKFAYb7 = Si : 13.84%, O  : 31.37%, Mg : 0.06%, Al : 0.05%, Ca : 0.02%, Mn : 1.55%, Fe : 52.62%, Zn : 0.38% 
 diop_ni = Si : 24.91%, Al : 0.45%, Fe : 0.12%, Mg : 8.62%, Ca : 17.87%, Ni : 5.06%, O  : 43.01% 
 MgCr2O4 = Mg : 12.64%, Cr : 54.08%, O  : 33.28% 
 Rhodon 41522 AMNH = O  : 37.73%, Mg : 2.36%, Si : 21.98%, Ca : 1.06%, Mn : 35.01%, Fe : 1.8% 
Calibration file name (Element intensity cps/nA) :   
 Na : jade_NaSp4_205.calDat (Na : 78.0 cps/nA) 
 Mg, Si, Ca : Wakefield_MgSp4_SiSp1_CaSp5_181.calDat (Mg : 138.7 cps/nA, Si : 541.3 cps/nA, Ca : 130.1 cps/nA) 
 Al : kspar_AlSp1_K Sp5_020.calDat (Al : 209.9 cps/nA) 
 Ti : TiO2_TiSp3_191.calDat (Ti : 1614.5 cps/nA) 
 Fe : RKFAYb7_FeSp2_506.calDat (Fe : 280.5 cps/nA) 
 Ni : diop_ni_NiSp2_213.calDat (Ni : 24.6 cps/nA) 
 Cr : MgCr2O4_CrSp3_193.calDat (Cr : 1391.0 cps/nA) 
 Mn : Rhodon 41522 AMNH_MnSp5_007.calDat (Mn : 150.9 cps/nA) 
Beam Size :   

DataSet/Point	Na2O	MgO	SiO2	Al2O3	TiO2	P2O5	K2O	CaO	FeO	Cr2O3	MnO	NiO	Total	X	Y	Z	Beam X	Beam Y	Comment	Distance (µ)	Mean Z	Point#	Date	
1 / 1 . 	0.13049	32.26418	54.47795	5.39286	0.11546	0.00177	0.00001	1.04969	6.28682	0.43251	0.14669	0.10160	100.40000	7446.	31219.	119.	 	 	SC-Oliv_1	 	11.54575	 1	7/2/2018 1:58:42 PM	
2 / 1 . 	0.14057	32.30927	54.55931	5.42311	0.11465	0.00318	0.00165	1.07063	6.29991	0.44780	0.14795	0.09223	100.61030	7446.	31206.	119.	 	 	SC-Oliv_2	 	11.57108	 2	7/2/2018 2:04:28 PM	
3 / 1 . 	0.12365	32.28950	54.46270	5.39893	0.11515	0.00002	0.00001	1.03230	6.30815	0.43631	0.13969	0.08863	100.39500	7446.	31155.	119.	 	 	SC-Oliv_3	 	11.54441	 3	7/2/2018 2:10:13 PM	
4 / 1 . 	0.01728	19.26227	42.23487	23.16643	0.38612	0.01486	0.00001	5.48082	9.80191	0.11297	0.33779	0.00001	100.81530	-16058.	28801.	172.	 	 	cpx_5-118_1	 	12.25896	 4	7/2/2018 2:16:07 PM	
5 / 1 . 	0.00804	19.28300	42.07384	23.22092	0.38759	0.02222	0.00041	5.47380	9.94075	0.10711	0.33064	0.00498	100.85330	-16134.	28801.	172.	 	 	cpx_5-118_2	 	12.27763	 5	7/2/2018 2:22:00 PM	
6 / 1 . 	0.00717	19.31679	41.95646	23.27966	0.37809	0.03303	0.00417	5.49100	9.75782	0.12589	0.33162	0.01364	100.69530	-16134.	28849.	172.	 	 	cpx_5-118_3	 	12.24335	 6	7/2/2018 2:27:54 PM	
7 / 1 . 	0.01174	49.35396	41.00292	0.02651	0.00324	0.00668	0.00021	0.09095	9.79946	0.01808	0.14498	0.37511	100.83380	6972.	31144.	124.	 	 	SC-Oliv_4	 	11.86750	 7	7/2/2018 2:38:33 PM	
8 / 1 . 	0.00805	49.15443	41.00997	0.01706	0.00772	0.00002	0.00185	0.10298	9.74017	0.01176	0.15539	0.38278	100.59220	6972.	31167.	124.	 	 	SC-Oliv_5	 	11.83817	 8	7/2/2018 2:53:25 PM	
9 / 1 . 	0.23593	16.92138	53.81883	0.69140	0.30420	0.02411	0.00158	24.74247	2.88086	0.23313	0.07084	0.00059	99.92530	-13481.	26786.	156.	 	 	cpx_5-118_4	 	12.52154	 9	7/2/2018 2:59:19 PM	
10 / 1 . 	0.24254	16.72589	53.47124	0.70767	0.31200	0.00998	0.00815	24.75775	2.92079	0.26541	0.07140	0.00001	99.49285	-13522.	26791.	156.	 	 	cpx_5-118_5	 	12.48429	 10	7/2/2018 3:05:10 PM	
11 / 1 . 	0.43846	17.15605	53.33480	3.77742	0.10254	0.01039	0.00001	22.76205	2.74704	0.39101	0.08556	0.04837	100.85370	13134.	-3652.	141.	 	 	GCB1A R22_cpx1_c_1	 	12.49474	 11	7/2/2018 3:40:09 PM	
12 / 1 . 	0.46065	16.93858	52.99894	3.94323	0.10623	0.01582	0.00109	22.78958	2.76404	0.56911	0.09310	0.05903	100.73940	13344.	-3572.	141.	 	 	GCB1A R22_cpx1_d_2	 	12.50329	 12	7/2/2018 3:45:59 PM	
13 / 1 . 	0.00001	49.57158	41.24976	0.00243	0.00670	0.01794	0.00001	0.05609	9.82665	0.01721	0.15388	0.39039	101.29260	13435.	-3561.	141.	 	 	GCB1A R22_ol4_b_1	 	11.92039	 13	7/2/2018 3:51:53 PM	
14 / 1 . 	0.00001	49.36191	41.45544	0.00002	0.00002	0.00985	0.00001	0.04830	9.89200	0.00958	0.14934	0.39682	101.32330	13592.	-3459.	141.	 	 	GCB1A R22_ol4_a_1	 	11.93073	 14	7/2/2018 3:57:45 PM	
15 / 1 . 	0.45994	16.94884	53.12049	3.85525	0.10304			22.80307	2.67648	0.48317	0.09277	0.03919	100.58230	13189.	-3728.	141.	 	 	GCB1A_CPX1C_2	 	12.46751	 15	7/2/2018 4:51:13 PM	
16 / 1 . 	0.46602	17.01979	53.34513	3.82880	0.10675			22.78128	2.76778	0.44667	0.10111	0.03822	100.90150	13164.	-3668.	141.	 	 	GCB1A_r22_CPX1C_3	 	12.50867	 16	7/2/2018 9:33:32 PM	
17 / 1 . 	0.46662	17.20141	53.21920	3.80077	0.10345			22.88677	2.70891	0.43730	0.10847	0.03361	100.96650	13160.	-3656.	141.	 	 	GCB1A_CPX1C_4	 	12.51374	 17	7/2/2018 9:38:11 PM	
18 / 1 . 	0.48501	16.94064	53.40661	3.90399	0.09639			22.74841	2.80200	0.54258	0.11276	0.06214	101.10050	12939.	-3575.	141.	 	 	GCB1A_r22_CPX1_A_1	 	12.54371	 18	7/2/2018 9:42:54 PM	
19 / 1 . 	0.46872	16.95731	53.19231	3.89163	0.10095			22.79596	2.74756	0.54409	0.11327	0.05993	100.87170	12939.	-3568.	141.	 	 	GCB1A_CPX1_A_2	 	12.51584	 19	7/2/2018 9:47:33 PM	
20 / 1 . 	0.47260	17.33277	53.04004	3.83340	0.09668			22.78941	2.78783	0.48916	0.08786	0.05179	100.98150	12988.	-3568.	141.	 	 	GCB1A_CPX1_A_3	 	12.52203	 20	7/2/2018 9:52:14 PM	
