FileName :  AB+HT_JULY2020_Pyroxene.qtiDat
Signal(s) Used : Na Ka, Mg Ka, Si Ka, Ca Ka, Fe Ka, Cr Ka, Al Ka, Ti Ka, Mn Ka, P  Ka
Spectrometers Conditions :  Sp2 LTAP,  Sp2 LTAP,  Sp4 TAP,  Sp1 PET,  Sp5 LLIF,  Sp3 LPET,  Sp2 LTAP,  Sp3 LPET,  Sp5 LLIF,  Sp4 TAP
Full Spectrometers Conditions :  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 PET(2d= 8.75,K= 0.000144),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp4 TAP(2d= 25.745,K= 0.00218)
Column Conditions : Cond 1 : 15keV 10nA , Cond 2 : 15keV 100nA 
	, Cond 1 : Na Ka, Mg Ka, Si Ka, Ca Ka, Fe Ka, Cr Ka
	, Cond 2 : Al Ka, Ti Ka, Mn Ka, P  Ka
Date : Jul-13-2020
User Name : SX978-PC\SX
Setup Name : D:\sxpc\Analysis Setups\Quanti\HTAB_pyroxene_070720_modified_faster.qtiSet
DataSet Comment : PMR53_CPX_STD_1
Comment :  
Analysis Date : Friday, July 10, 2020 7:10:36 PM
Project Name : Default Project
Sample Name : Default Sample
Analysis Parameters : 	
Sp	Elements	Xtal	Position	Bg1	Bg2	Slope	Bias	Gain	Dtime	Blin	Wind	Mode	
Sp2	Na Ka		LTAP	46373	-700	800	   	1328	3207	3	560	 	Inte
Sp2	Mg Ka		LTAP	38513	-1150	1150	   	1328	3103	3	560	 	Inte
Sp4	Si Ka		TAP	27738	   	750	1.1	1321	3092	3	560	 	Inte
Sp1	Ca Ka		PET	38397	   	700	1.1	1307	1026	3	560	 	Inte
Sp5	Fe Ka		LLIF	48085	   	950	1.1	1845	453	3	560	 	Inte
Sp3	Cr Ka		LPET	26139	-500	500	   	1861	1057	3	560	 	Inte
Sp2	Al Ka		LTAP	32477	   	800	1.2	1324	3225	3	560	 	Inte
Sp3	Ti Ka		LPET	31409	   	650	1.05	1859	1046	3	560	 	Inte
Sp5	Mn Ka		LLIF	52195	-550	550	   	1845	450	3	560	 	Inte
Sp4	P  Ka		TAP	23973	-500	500	   	1322	3059	3	560	 	Inte
Peak Position :  Sp2 46373 (-700, 800),  Sp2 38513 (-1150, 1150),  Sp4 27738 (750, Slope = 1.1),  Sp1 38397 (700, Slope = 1.1),  Sp5 48085 (950, Slope = 1.1),  Sp3 26139 (-500, 500),  Sp2 32477 (800, Slope = 1.2),  Sp3 31409 (650, Slope = 1.05),  Sp5 52195 (-550, 550),  Sp4 23973 (-500, 500)
Current Sample Position :  X = -19684 Y = 1958 Z = 20 BeamX = 0.00 BeamX = 0.00
Standard Name : 
Na On Albite
Mg ,Si ,Ca On Wakefield diopside
Fe On RKFAYb7
Cr On MgCr2O4
Al On Ortho_1
Ti On RUTILE_6
Mn On Rhodonite
P  On W_Apatite
Standard composition : 
Albite = Si : 32.13%, Al : 10.25%, Fe : 0.05%, Na : 8.75%, K  : 0.03%, O  : 48.79%
Wakefield diopside = Si : 25.94%, O  : 44.43%, Na : 0.02%, Mg : 11.22%, Al : 0.02%, Ca : 18.53%, Ti : 0.02%, Mn : 0.02%, Fe : 0.09%
RKFAYb7 = Si : 13.84%, O  : 31.37%, Mg : 0.06%, Al : 0.05%, Ca : 0.02%, Mn : 1.55%, Fe : 52.62%, Zn : 0.38%
MgCr2O4 = Mg : 12.64%, Cr : 54.08%, O  : 33.28%
Ortho_1 = Si : 30.10%, Al : 9.83%, Na : 0.85%, K  : 12.39%, Ba : 0.70%, O  : 45.94%
RUTILE_6 = Ti : 59.95%, O  : 40.05%
Rhodonite = Si : 21.98%, Fe : 1.80%, Ca : 1.06%, Mg : 2.36%, Mn : 35.01%, O  : 37.73%
W_Apatite = Si : 0.12%, Fe : 0.05%, Ca : 39.27%, Na : 0.18%, P  : 17.77%, F  : 3.40%, Sr : 0.39%, S  : 0.24%, O  : 39.27%
Calibration file name (Element intensity cps/nA) : 
Na : Other\Albite_15kV_NaKa-Sp2-LTAP_009.calDat (Na : 140.4 cps/nA)
Mg ,Si ,Ca : Other\Wakefield diopside_15kV_MgKa-Sp2-LTAP_SiKa-Sp4-TAP_CaKa-Sp1-PET_002.calDat (Mg : 349.7 cps/nA, Si : 559.4 cps/nA, Ca : 98.6 cps/nA)
Fe : Other\RKFAYb7_15kV_FeKa-Sp5-LLIF_015.calDat (Fe : 317.4 cps/nA)
Cr : Other\MgCr2O4_15kV_MgKa-Sp2-LTAP_CrKa-Sp3-LPET_003.calDat (Cr : 1503.7 cps/nA)
Al : Other\Ortho_1_15kV_AlKa-Sp2-LTAP_001.calDat (Al : 445.2 cps/nA)
Ti : Other\RUTILE_6_15kV_TiKa-Sp3-LPET_011.calDat (Ti : 1574.6 cps/nA)
Mn : Other\Rhodonite_15kV_MnKa-Sp5-LLIF_005.calDat (Mn : 190.8 cps/nA)
P  : Other\W_Apatite_15kV_PKa-Sp4-TAP_001.calDat (P  : 385.0 cps/nA)
Beam Size : 1, 1 ?m

	Beam curr (nA)	Weight%	Atomic%	Oxide	Det.Lim ppm(A)	StdDev wt%	

DataSet/Point	Na	Mg	Si	Ca	Fe	Cr	Al	Ti	Mn	P 	O 	Ni	V 	K 	Na	Mg	Si	Ca	Fe	Cr	Al	Ti	Mn	P 	O 	Ni	V 	K 	Total	Na	Mg	Si	Ca	Fe	Cr	Al	Ti	Mn	P 	O 	Ni	V 	K 	Total	Na2O	MgO	SiO2	CaO	FeO	Cr2O3	Al2O3	TiO2	MnO	P2O5	NiO	V2O3	K2O	Total	Na	Mg	Si	Ca	Fe	Cr	Al	Ti	Mn	P 	O 	Ni	V 	K 	Na	Mg	Si	Ca	Fe	Cr	Al	Ti	Mn	P 	O 	Ni	V 	K 	 X 	 Y 	 Z 	 Beam X 	 Beam Y 	Comment	Distance (?)	Mean Z	Point#	Date
1 / 1 . 	9.955100	9.955100	9.955100	9.955100	9.955100	9.955100	100.695800	100.695800	100.695800	100.695800					1.566094	10.971430	25.333170	9.855274	5.407813	0.105178	1.547941	0.220111	0.120612	0.058748	43.798400				98.984760	1.490702	9.878157	19.738570	5.380829	2.118996	0.044265	1.255440	0.100557	0.048042	0.041505	59.902940				100.000000	2.111062	18.193910	54.197110	13.789500	6.957130	0.153725	2.924824	0.367157	0.155738	0.134615				98.984780	227	318	501	1055	1238	223	97	89	170	91					0.063333	0.215418	0.453933	0.473503	0.325750	0.020912	0.021107	0.009397	0.017486	0.008505					-19684.0	1958.0	20.0	 	 	PMR53_CPX_STD_1	0.00	12.230310	1	Friday, July 10, 2020 7:10:36 PM	
2 / 1 . 	9.924600	9.924600	9.924600	9.924600	9.924600	9.924600	100.695800	100.695800	100.695800	100.695800					0.250632	8.649858	22.632690	16.313920	4.876828	0.215161	3.000341	0.879309	0.103821	0.097049	42.989300				100.008900	0.242665	7.921725	17.937440	9.060186	1.943766	0.092108	2.475199	0.408613	0.042065	0.069744	59.806500				100.000000	0.337847	14.344050	48.419780	22.826440	6.274020	0.314473	5.669125	1.466736	0.134057	0.222380				100.008900	210	302	482	1075	1329	234	108	92	175	92					0.029311	0.186283	0.417779	0.646531	0.312717	0.023867	0.029029	0.013930	0.017374	0.009182					-7193.0	-5250.0	20.0	 	 	AZ18_WHT06_CPX4_phenocryst_core	14421.52	12.879680	2	Friday, July 10, 2020 7:14:16 PM	
3 / 1 . 	9.981000	9.981000	9.981000	9.981000	9.981000	9.981000	99.932800	99.932800	99.932800	99.932800					0.179270	9.685895	23.884340	15.939090	4.766843	0.055210	1.687221	0.527677	0.102316	0.103954	43.423160				100.355000	0.172002	8.790339	18.758260	8.771970	1.882749	0.023421	1.379326	0.242993	0.041080	0.074030	59.863830				100.000000	0.241652	16.062100	51.097520	22.301970	6.132524	0.080693	3.187994	0.880195	0.132114	0.238201				100.355000	206	297	483	970	1187	227	98	91	180	91					0.026107	0.198748	0.432879	0.635062	0.304844	0.020106	0.021886	0.011775	0.017735	0.009197					-6928.0	-4987.0	20.0	 	 	AZ18_WHT06_CPX4_phenocryst_Long_rim	14524.07	12.816730	3	Friday, July 10, 2020 7:18:00 PM	
4 / 1 . 	9.913900	9.913900	9.913900	9.913900	9.913900	9.913900	100.268500	100.268500	100.268500	100.268500					0.238092	8.333108	22.558440	16.317340	5.128645	0.113508	3.190057	0.986365	0.087137	0.104292	42.963160				100.020100	0.230833	7.641877	17.902570	9.074237	2.046876	0.048657	2.635241	0.458977	0.035352	0.075049	59.850330				100.000000	0.320943	13.818780	48.260930	22.831220	6.597981	0.165900	6.027592	1.645312	0.112514	0.238976				100.020100	200	293	491	1033	1228	226	108	92	177	92					0.028365	0.182262	0.417000	0.646247	0.317462	0.021338	0.029973	0.014543	0.017138	0.009250					-7120.0	-5355.0	20.0	 	 	AZ18_WHT06_CPX4_phenocryst_narrow_rim	14537.33	12.914690	4	Friday, July 10, 2020 7:21:41 PM	
5 / 1 . 	9.927600	9.927600	9.927600	9.927600	9.927600	9.927600	100.253300	100.253300	100.253300	100.253300					0.263733	7.877323	22.291230	16.107820	5.479321	0.117787	2.936060	1.428327	0.095488	0.115285	42.472350				99.184730	0.258946	7.315822	17.915620	9.071709	2.214659	0.051134	2.456282	0.673088	0.039234	0.084016	59.919480				100.000000	0.355506	13.062950	47.689270	22.538060	7.049124	0.172154	5.547668	2.382529	0.123298	0.264166				99.184740	211	287	512	1015	1141	222	108	95	177	92					0.029937	0.176497	0.413301	0.639916	0.325194	0.021084	0.028747	0.016901	0.017312	0.009442					-7811.0	-4184.0	20.0	 	 	AZ18_WHT06_CPX_Xenocryst_prof1_	13367.58	12.904390	5	Friday, July 10, 2020 7:25:28 PM	
5 / 2 . 	9.916900	9.916900	9.916900	9.916900	9.916900	9.916900	100.863600	100.863600	100.863600	100.863600					0.282497	7.963998	22.288280	16.338000	5.344896	0.099983	2.849852	1.363150	0.089351	0.108174	42.446550				99.174740	0.277322	7.395049	17.910180	9.199765	2.159956	0.043397	2.383752	0.642264	0.036706	0.078819	59.872800				100.000000	0.380800	13.206680	47.682960	22.860140	6.876187	0.146132	5.384778	2.273811	0.115374	0.247870				99.174730	201	292	501	1059	1227	235	104	93	174	92					0.030155	0.177728	0.413241	0.646648	0.323640	0.021695	0.028150	0.016485	0.016948	0.009279					-7808.5	-4184.0	20.0	 	 	AZ18_WHT06_CPX_Xenocryst_prof1_	13369.80	12.893040	6	Friday, July 10, 2020 7:29:10 PM	
5 / 3 . 	9.971900	9.971900	9.971900	9.971900	9.971900	9.971900	100.741500	100.741500	100.741500	100.741500					0.266099	7.927700	22.530340	16.536780	5.318867	0.111697	2.795725	1.322574	0.079727	0.112422	42.697480				99.699420	0.259822	7.321812	18.007470	9.261688	2.137895	0.048221	2.325920	0.619800	0.032576	0.081475	59.903320				99.999990	0.358696	13.146490	48.200820	23.138260	6.842701	0.163253	5.282504	2.206128	0.102946	0.257604				99.699410	205	306	478	1186	1299	228	105	92	180	92					0.029689	0.176989	0.415406	0.652127	0.324099	0.021436	0.027908	0.016265	0.017105	0.009332					-7806.0	-4184.0	20.0	 	 	AZ18_WHT06_CPX_Xenocryst_prof1_	13372.01	12.958910	7	Friday, July 10, 2020 7:32:49 PM	
5 / 4 . 	9.927600	9.927600	9.927600	9.927600	9.927600	9.927600	99.765000	99.765000	99.765000	99.765000					0.261285	8.086212	22.561790	16.706050	5.275625	0.132090	2.782822	1.314596	0.084900	0.110906	42.883320				100.199600	0.253851	7.431030	17.942830	9.309915	2.109957	0.056741	2.303659	0.612994	0.034517	0.079976	59.864530				100.000000	0.352207	13.409350	48.268100	23.375110	6.787070	0.193059	5.258124	2.192820	0.109625	0.254132				100.199600	204	288	468	970	1103	226	107	93	176	92					0.029488	0.179144	0.416259	0.654943	0.318357	0.021684	0.028016	0.016327	0.017023	0.009336					-7803.5	-4184.0	20.0	 	 	AZ18_WHT06_CPX_Xenocryst_prof1_	13374.22	13.021820	8	Friday, July 10, 2020 7:36:32 PM	
5 / 5 . 	9.926100	9.926100	9.926100	9.926100	9.926100	9.926100	100.650000	100.650000	100.650000	100.650000					0.266159	8.197739	22.675130	16.450130	5.017650	0.137942	2.726300	1.272467	0.075502	0.105722	42.826340				99.751080	0.259103	7.548576	18.069010	9.185613	2.010792	0.059374	2.261380	0.594536	0.030757	0.076391	59.904470				100.000000	0.358777	13.594300	48.510570	23.017020	6.455187	0.201612	5.151327	2.122547	0.097491	0.242253				99.751080	211	294	490	939	1349	228	105	93	175	92					0.029985	0.180535	0.417955	0.648273	0.317418	0.021975	0.027578	0.016058	0.016672	0.009275					-7801.0	-4183.9	20.0	 	 	AZ18_WHT06_CPX_Xenocryst_prof1_	13376.44	12.910450	9	Friday, July 10, 2020 7:40:11 PM	
5 / 6 . 	9.915400	9.915400	9.915400	9.915400	9.915400	9.915400	100.207500	100.207500	100.207500	100.207500					0.262926	8.077697	22.652160	16.504340	4.908619	0.141298	2.728662	1.280135	0.081191	0.105735	42.720870				99.463630	0.256684	7.459197	18.102040	9.242098	1.972693	0.060991	2.269777	0.599819	0.033169	0.076617	59.926910				99.999990	0.354419	13.395230	48.461430	23.092870	6.314919	0.206517	5.155789	2.135337	0.104836	0.242283				99.463640	207	310	488	874	1340	227	104	92	178	92					0.029666	0.179191	0.417700	0.649293	0.314078	0.021951	0.027603	0.016094	0.017018	0.009257					-7798.5	-4183.9	20.0	 	 	AZ18_WHT06_CPX_Xenocryst_prof1_	13378.65	12.870750	10	Friday, July 10, 2020 7:43:50 PM	
