FileName :  AB+HT_JULY2020_glass.qtiDat
Signal(s) Used : F  Ka, Na Ka, Mg Ka, Al Ka, Si Ka, P  Ka, K  Ka, Ca Ka, Ti Ka, Mn Ka, Fe Ka, S  Ka, Cl Ka
Spectrometers Conditions :  Sp4 TAP,  Sp2 LTAP,  Sp2 LTAP,  Sp2 LTAP,  Sp4 TAP,  Sp1 PET,  Sp3 LPET,  Sp1 PET,  Sp3 LPET,  Sp5 LLIF,  Sp5 LLIF,  Sp3 LPET,  Sp1 PET
Full Spectrometers Conditions :  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 PET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp1 PET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp1 PET(2d= 8.75,K= 0.000144)
Column Conditions : Cond 1 : 15keV 4nA , Cond 2 : 15keV 10nA , Cond 3 : 15keV 40nA 
	, Cond 1 : F  Ka, Na Ka
	, Cond 2 : Mg Ka, Al Ka, Si Ka, P  Ka, K  Ka, Ca Ka, Ti Ka, Mn Ka, Fe Ka
	, Cond 3 : S  Ka, Cl Ka
Date : Jul-13-2020
User Name : SX978-PC\SX
Setup Name : D:\sxpc\Analysis Setups\Quanti\HTAB_glass_070720.qtiSet
DataSet Comment : C6_ol12_Speak61372_1
Comment :  
Analysis Date : Tuesday, July 7, 2020 12:13:31 PM
Project Name : Default Project
Sample Name : Default Sample
Analysis Parameters : 	
Sp	Elements	Xtal	Position	Bg1	Bg2	Slope	Bias	Gain	Dtime	Blin	Wind	Mode	
Sp4	F  Ka		TAP	71221	-500	500	   	1328	2977	3	560	 	Inte
Sp2	Na Ka		LTAP	46373	-700	800	   	1328	3207	3	560	 	Inte
Sp2	Mg Ka		LTAP	38513	-1150	1150	   	1328	3103	3	560	 	Inte
Sp2	Al Ka		LTAP	32475	   	800	1.2	1324	3225	3	560	 	Inte
Sp4	Si Ka		TAP	27738	   	750	1.1	1321	3092	3	560	 	Inte
Sp1	P  Ka		PET	70368	-600	450	   	1313	1005	3	560	 	Inte
Sp3	K  Ka		LPET	42760	-600	600	   	1860	1049	3	560	 	Inte
Sp1	Ca Ka		PET	38397	   	700	1.1	1307	1026	3	560	 	Inte
Sp3	Ti Ka		LPET	31407	   	650	1.05	1859	1046	3	560	 	Inte
Sp5	Mn Ka		LLIF	52192	-550	550	   	1845	450	3	560	 	Inte
Sp5	Fe Ka		LLIF	48085	   	950	1.1	1845	453	3	560	 	Inte
Sp3	S  Ka		LPET	61362	-825	700	   	1862	1038	3	560	 	Inte
Sp1	Cl Ka		PET	54046	-600	600	   	1305	1012	3	560	 	Inte
Peak Position :  Sp4 71221 (-500, 500),  Sp2 46373 (-700, 800),  Sp2 38513 (-1150, 1150),  Sp2 32475 (800, Slope = 1.2),  Sp4 27738 (750, Slope = 1.1),  Sp1 70368 (-600, 450),  Sp3 42760 (-600, 600),  Sp1 38397 (700, Slope = 1.1),  Sp3 31407 (650, Slope = 1.05),  Sp5 52192 (-550, 550),  Sp5 48085 (950, Slope = 1.1),  Sp3 61362 (-825, 700),  Sp1 54046 (-600, 600)
Current Sample Position :  X = -19792 Y = 3155 Z = 32 BeamX = 0.00 BeamX = 0.00
Standard Name : 
F  On MgF2
Na On Albite
Mg ,Si ,Ca On Wakefield diopside
Al ,K  On Ortho_1
P  On Berlinite
Ti On RUTILE_6
Mn On Rhodonite
Fe On RKFAYb7
S  On Barite
Cl On scapolite
Standard composition : 
MgF2 = Mg : 39.01%, F  : 60.99%
Albite = Si : 32.13%, Al : 10.25%, Fe : 0.05%, Na : 8.75%, K  : 0.03%, O  : 48.79%
Wakefield diopside = Si : 25.94%, O  : 44.43%, Na : 0.02%, Mg : 11.22%, Al : 0.02%, Ca : 18.53%, Ti : 0.02%, Mn : 0.02%, Fe : 0.09%
Ortho_1 = Si : 30.10%, Al : 9.83%, Na : 0.85%, K  : 12.39%, Ba : 0.70%, O  : 45.94%
Berlinite = Al : 22.12%, P  : 25.40%, O  : 52.48%
RUTILE_6 = Ti : 59.95%, O  : 40.05%
Rhodonite = Si : 21.98%, Fe : 1.80%, Ca : 1.06%, Mg : 2.36%, Mn : 35.01%, O  : 37.73%
RKFAYb7 = Si : 13.84%, O  : 31.37%, Mg : 0.06%, Al : 0.05%, Ca : 0.02%, Mn : 1.55%, Fe : 52.62%, Zn : 0.38%
Barite = O  : 27.42%, S  : 13.74%, Ba : 58.84%
scapolite = Si : 25.35%, Al : 12.33%, Ca : 6.52%, Na : 5.63%, K  : 1.40%, Cl : 2.74%, O  : 45.70%
Calibration file name (Element intensity cps/nA) : 
F  : Other\MgF2_15kV_FKa-Sp4-TAP_002.calDat (F  : 71.3 cps/nA)
Na : Other\Albite_15kV_NaKa-Sp2-LTAP_009.calDat (Na : 140.4 cps/nA)
Mg ,Si ,Ca : Other\Wakefield diopside_15kV_MgKa-Sp2-LTAP_SiKa-Sp4-TAP_CaKa-Sp1-PET_002.calDat (Mg : 349.7 cps/nA, Si : 559.4 cps/nA, Ca : 98.6 cps/nA)
Al ,K  : Other\Ortho_1_15kV_AlKa-Sp2-LTAP_KKa-Sp3-LPET_002.calDat (Al : 445.5 cps/nA, K  : 212.9 cps/nA)
P  : Other\Berlinite_15kV_PKa-Sp1-PET_005.calDat (P  : 62.4 cps/nA)
Ti : Other\RUTILE_6_15kV_TiKa-Sp3-LPET_010.calDat (Ti : 1620.1 cps/nA)
Mn : Other\Rhodonite_15kV_MnKa-Sp5-LLIF_004.calDat (Mn : 189.5 cps/nA)
Fe : Other\RKFAYb7_15kV_FeKa-Sp5-LLIF_015.calDat (Fe : 317.4 cps/nA)
S  : Other\Barite_15kV_SKa-Sp3-LPET_006.calDat (S  : 127.7 cps/nA)
Cl : Other\Scapolite_15kV_ClKa-Sp1-PET_002.calDat (Cl : 6.2 cps/nA)
Beam Size : 10, 10, 10 ?m

	Beam curr (nA)	Peak Time (s)	Weight%	Atomic%	Oxide	Det.Lim ppm(A)	StdDev wt%	

DataSet/Point	F 	Na	Mg	Al	Si	P 	K 	Ca	Ti	Mn	Fe	S 	Cl	O 	F 	Na	Mg	Al	Si	P 	K 	Ca	Ti	Mn	Fe	S 	Cl	O 	F 	Na	Mg	Al	Si	P 	K 	Ca	Ti	Mn	Fe	S 	Cl	O 	Total	F 	Na	Mg	Al	Si	P 	K 	Ca	Ti	Mn	Fe	S 	Cl	O 	Total	F 	Na2O	MgO	Al2O3	SiO2	P2O5	K2O	CaO	TiO2	MnO	FeO	SO2	Cl	Total	F 	Na	Mg	Al	Si	P 	K 	Ca	Ti	Mn	Fe	S 	Cl	O 	F 	Na	Mg	Al	Si	P 	K 	Ca	Ti	Mn	Fe	S 	Cl	O 	 X 	 Y 	 Z 	 Beam X 	 Beam Y 	Comment	Distance (?)	Mean Z	Point#	Date
1 / 1 . 	4.071000	4.071000	9.926100	9.926100	9.926100	9.926100	9.926100	9.926100	9.926100	9.926100	9.926100	39.974600	39.974600		30.000000	30.000000	20.000000	20.000000	20.000000	30.000000	30.000000	20.000000	30.000000	30.000000	20.000000	60.000000	60.000000		0.000010	1.606497	4.997740	8.605169	23.115730	0.035226	0.141406	9.357682	0.502329	0.138317	6.291963	0.069187	0.030187	43.898290	98.789750	0.000012	1.543243	4.541168	7.043396	18.176700	0.025116	0.079873	5.156203	0.231602	0.055602	2.488146	0.047660	0.018804	60.592480	100.000000	0.000010	2.165524	8.287745	16.259410	49.453190	0.080717	0.170340	13.093270	0.837913	0.178600	8.094584	0.138244	0.030187	98.789730		370	193	322	355	512	177	632	254	458	791	64	167		-0.000021	0.098581	0.102478	0.160352	0.361682	0.047289	0.021544	0.355861	0.032886	0.047571	0.254950	0.007757	0.015629		-19792.0	3155.0	32.0	 	 	C6_ol12_Speak61372_1	0.00	12.344070	1	Tuesday, July 7, 2020 12:13:31 PM	
2 / 1 . 	4.068800	4.068800	9.930700	9.930700	9.930700	9.930700	9.930700	9.930700	9.930700	9.930700	9.930700	40.098200	40.098200		30.000000	30.000000	20.000000	20.000000	20.000000	30.000000	30.000000	20.000000	30.000000	30.000000	20.000000	60.000000	60.000000		0.000010	1.568519	4.971078	8.628118	23.062850	0.019070	0.145070	9.136125	0.476161	0.120588	6.176044	0.023584	0.025369	43.617760	97.970350	0.000012	1.517408	4.548861	7.112085	18.263270	0.013693	0.082522	5.069696	0.221088	0.048818	2.459564	0.016360	0.015915	60.630700	100.000000	0.000010	2.114331	8.243531	16.302770	49.340070	0.043698	0.174753	12.783270	0.794263	0.155708	7.945456	0.047123	0.025369	97.970340		389	177	316	354	567	174	644	264	467	936	65	171		-0.000197	0.097942	0.101881	0.160572	0.361057	0.049221	0.021564	0.350410	0.032873	0.047089	0.255823	0.006300	0.015665		-19792.0	3155.0	32.0	 	 	ND70_1_2_S-peak61470	0.00	12.215350	2	Tuesday, July 7, 2020 1:13:46 PM	
3 / 1 . 	4.060600	4.060600	9.918500	9.918500	9.918500	9.918500	9.918500	9.918500	9.918500	9.918500	9.918500	39.988400	39.988400		30.000000	30.000000	20.000000	20.000000	20.000000	30.000000	30.000000	20.000000	30.000000	30.000000	20.000000	60.000000	60.000000		0.100825	1.589843	5.007539	8.644833	22.921500	0.028394	0.141536	9.195029	0.503221	0.127920	6.261787	0.026405	0.025424	43.585410	98.159670	0.117893	1.536224	4.576827	7.117470	18.129950	0.020364	0.080416	5.096372	0.233377	0.051725	2.490773	0.018296	0.015930	60.514380	100.000000	0.100825	2.143075	8.303992	16.334360	49.037650	0.065061	0.170496	12.865680	0.839401	0.165175	8.055763	0.052761	0.025424	98.159670	6113	379	183	315	348	533	172	645	254	467	894	63	172		0.512874	0.098441	0.102499	0.160883	0.359374	0.047899	0.021318	0.351993	0.032868	0.047511	0.256723	0.006280	0.015756		-19503.0	3035.0	32.0	 	 	ND70_1_3_S-peak61470	312.92	12.253990	3	Tuesday, July 7, 2020 1:25:03 PM	
4 / 1 . 	40.107400	4.066100	9.926100	9.926100	9.926100	9.926100	9.926100	9.926100	9.926100	9.926100	9.926100	40.107400	40.107400		10.000000	30.000000	20.000000	20.000000	20.000000	30.000000	30.000000	20.000000	30.000000	30.000000	20.000000	60.000000	60.000000		0.053635	1.547694	5.017458	8.637018	23.068630	0.050783	0.130831	9.060448	0.500880	0.127192	6.214957	0.088440	0.030481	43.757680	98.286130	0.062575	1.492157	4.575652	7.095157	18.205580	0.036341	0.074168	5.010567	0.231773	0.051316	2.466625	0.061144	0.019056	60.617890	100.000000	0.053635	2.086258	8.320442	16.319590	49.352410	0.116365	0.157601	12.677380	0.835495	0.164235	7.995517	0.176715	0.030481	98.286130	2459	370	182	313	357	525	177	685	256	442	857	64	170		0.209417	0.096884	0.102537	0.160693	0.361168	0.050447	0.021096	0.349071	0.032922	0.045783	0.254769	0.008321	0.015898		-19463.0	3032.0	32.0	 	 	ND70_1_4_S-peak61392	351.24	12.251980	4	Tuesday, July 7, 2020 2:00:07 PM	
5 / 1 . 	40.119600	4.062900	9.956600	9.956600	9.956600	9.956600	9.956600	9.956600	9.956600	9.956600	9.956600	40.119600	40.119600		10.000000	30.000000	20.000000	20.000000	20.000000	30.000000	30.000000	20.000000	30.000000	30.000000	20.000000	60.000000	60.000000		0.000010	3.376432	2.649095	9.353137	20.520020	0.309050	2.661750	6.577388	1.978725	0.059789	7.288001	0.075306	0.037552	41.690240	96.576480	0.000012	3.370621	2.501434	7.955686	16.768050	0.228993	1.562415	3.766282	0.948062	0.024977	2.994992	0.053908	0.024309	59.800260	100.000000	0.000010	4.551360	4.392989	17.672690	43.899980	0.708161	3.206375	9.203082	3.300624	0.077202	9.375983	0.150470	0.037552	96.576480		428	184	329	341	453	181	579	254	482	906	66	171		-0.000053	0.144379	0.071583	0.171228	0.329180	0.075095	0.083294	0.282507	0.055329	0.044132	0.277682	0.008028	0.016342		13452.0	-2875.0	-22.0	 	 	AZ18_OL36_MI_1_sulfurpeak61392_1	33786.50	12.344380	5	Tuesday, July 7, 2020 2:51:10 PM	
6 / 1 . 	40.057000	4.058300	9.909300	9.909300	9.909300	9.909300	9.909300	9.909300	9.909300	9.909300	9.909300	40.057000	40.057000		10.000000	30.000000	20.000000	20.000000	20.000000	30.000000	30.000000	20.000000	30.000000	30.000000	20.000000	60.000000	60.000000		0.000010	3.439556	2.617807	9.413517	20.841050	0.224204	2.774328	6.505190	1.957782	0.101169	7.532388	0.078150	0.039051	42.066650	97.590850	0.000012	3.400998	2.448394	7.930934	16.868510	0.164547	1.613018	3.689534	0.929112	0.041861	3.066000	0.055412	0.025039	59.766630	100.000000	0.000010	4.636449	4.341105	17.786780	44.586800	0.513744	3.341988	9.102063	3.265690	0.130633	9.690387	0.156153	0.039051	97.590860		456	182	323	352	502	187	706	257	463	832	64	174		-40.100670	0.146480	0.071254	0.172180	0.333567	0.069261	0.085750	0.283028	0.055251	0.045508	0.281600	0.008017	0.016641		13458.0	-2852.0	-17.0	 	 	AZ18_OL36_MI_1_sulfurpeak61392_2	33788.30	12.494680	6	Tuesday, July 7, 2020 3:11:29 PM	
7 / 1 . 	40.029600	4.063500	9.909300	9.909300	9.909300	9.909300	9.909300	9.909300	9.909300	9.909300	9.909300	40.029600	40.029600		10.000000	30.000000	20.000000	20.000000	20.000000	30.000000	30.000000	20.000000	30.000000	30.000000	20.000000	60.000000	60.000000		0.030246	2.891263	3.644770	8.131708	19.737460	0.365316	1.166446	8.624360	1.502494	0.133068	8.038768	0.135517	0.078003	40.761020	95.240440	0.037285	2.945267	3.511939	7.058094	16.458170	0.276215	0.698681	5.039315	0.734598	0.056725	3.371025	0.098992	0.051526	59.662170	100.000000	0.030246	3.897362	6.044116	15.364810	42.225800	0.837090	1.405115	12.067210	2.506243	0.171823	10.341840	0.270780	0.078003	95.240440	2850	424	176	308	356	441	173	697	264	485	902	64	174		0.237920	0.134239	0.085919	0.153617	0.319859	0.079779	0.051111	0.337541	0.049403	0.049039	0.293363	0.009532	0.018732		11433.0	-3842.0	-7.0	 	 	AZ18_OL35_MI_1_sulfurpeak61392_1	31999.38	12.329520	7	Tuesday, July 7, 2020 3:55:29 PM	
8 / 1 . 	40.096700	4.018500	9.924600	9.924600	9.924600	9.924600	9.924600	9.924600	9.924600	9.924600	9.924600	40.096700	40.096700		10.000000	30.000000	20.000000	20.000000	20.000000	30.000000	30.000000	20.000000	30.000000	30.000000	20.000000	60.000000	60.000000		0.000010	3.295357	2.286721	9.144083	22.234670	0.274810	1.293743	6.806310	0.873565	0.153404	7.360877	0.249217	0.282826	42.441830	96.697430	0.000012	3.256991	2.137799	7.700568	17.988620	0.201599	0.751865	3.858632	0.414390	0.063447	2.994877	0.176629	0.181266	60.273310	100.000000	0.000010	4.442072	3.792066	17.277690	47.568270	0.629703	1.558458	9.523390	1.457155	0.198081	9.469738	0.497966	0.282826	96.697430		431	176	326	357	496	179	685	260	470	870	64	176		-0.000010	0.143071	0.065913	0.168034	0.350681	0.074072	0.054417	0.290746	0.039755	0.049297	0.278940	0.012062	0.029743		15106.0	7724.0	-40.0	 	 	C6_ol5_Speak61380_1	35195.90	12.214440	8	Tuesday, July 7, 2020 4:34:43 PM	
9 / 1 . 	39.971600	4.062900	9.933700	9.933700	9.933700	9.933700	9.933700	9.933700	9.933700	9.933700	9.933700	39.971600	39.971600		10.000000	30.000000	20.000000	20.000000	20.000000	30.000000	30.000000	20.000000	30.000000	30.000000	20.000000	60.000000	60.000000		0.000010	3.739553	1.936366	8.903972	23.752900	0.481647	2.012919	5.004129	1.054198	0.145062	6.504319	0.086935	0.315201	43.287720	97.224930	0.000012	3.640451	1.783045	7.385633	18.928020	0.348021	1.152230	2.794290	0.492558	0.059095	2.606589	0.060688	0.198978	60.550400	100.000000	0.000010	5.040840	3.211072	16.824000	50.816330	1.103651	2.424786	7.001778	1.758462	0.187309	8.367780	0.173707	0.315201	97.224930		434	170	317	349	457	188	544	254	440	971	64	170		-0.000015	0.151013	0.060056	0.164132	0.369041	0.090669	0.070501	0.239573	0.042415	0.046817	0.263494	0.008323	0.031264		11562.0	5038.0	-20.0	 	 	C6_ol12_Speak61380_1	31410.54	12.071990	9	Tuesday, July 7, 2020 4:56:49 PM	
10 / 1 . 	39.945600	4.058800	9.910800	9.910800	9.910800	9.910800	9.910800	9.910800	9.910800	9.910800	9.910800	39.945600	39.945600		10.000000	30.000000	20.000000	20.000000	20.000000	30.000000	30.000000	20.000000	30.000000	30.000000	20.000000	60.000000	60.000000		0.000010	3.683182	1.865263	8.811213	23.752440	0.504119	2.037212	4.870943	1.082898	0.127041	6.571192	0.094228	0.302044	43.159440	96.861230	0.000012	3.599672	1.724326	7.337429	19.002070	0.365691	1.170721	2.730613	0.507957	0.051957	2.643743	0.066037	0.191422	60.608350	100.000000	0.000010	4.964853	3.093162	16.648730	50.815350	1.155143	2.454049	6.815423	1.806335	0.164040	8.453813	0.188279	0.302044	96.861230		430	176	310	359	446	183	689	257	468	917	63	174		-0.000011	0.149896	0.059077	0.162745	0.369228	0.092165	0.070982	0.238595	0.042992	0.047549	0.263789	0.008461	0.030751		11588.0	5029.0	-20.0	 	 	C6_ol12_Speak61380_2	31435.95	12.034350	10	Tuesday, July 7, 2020 5:09:31 PM	
