FileName :  AB+HT_JULY2020_olivine_MI_adjacent.qtiDat
Signal(s) Used : Mg Ka, Si Ka, Fe Ka, Al Ka, Ca Ka, Ti Ka, Cr Ka, Mn Ka, Ni Ka, P  Ka
Spectrometers Conditions :  Sp2 LTAP,  Sp4 TAP,  Sp5 LLIF,  Sp2 LTAP,  Sp1 PET,  Sp3 LPET,  Sp3 LPET,  Sp5 LLIF,  Sp5 LLIF,  Sp1 PET
Full Spectrometers Conditions :  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp1 PET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp1 PET(2d= 8.75,K= 0.000144)
Column Conditions : Cond 1 : 15keV 10nA , Cond 2 : 15keV 100nA 
	, Cond 1 : Mg Ka, Si Ka, Fe Ka
	, Cond 2 : Al Ka, Ca Ka, Ti Ka, Cr Ka, Mn Ka, Ni Ka, P  Ka
Date : Jul-09-2020
User Name : SX978-PC\SX
Setup Name : D:\sxpc\Analysis Setups\Quanti\HTAB_olivine_070720.qtiSet
DataSet Comment : San_Carlos_WDS_1
Comment :  
Analysis Date : Wednesday, July 8, 2020 11:54:05 PM
Project Name : Default Project
Sample Name : Default Sample
Analysis Parameters : 	
Sp	Elements	Xtal	Position	Bg1	Bg2	Slope	Bias	Gain	Dtime	Blin	Wind	Mode	
Sp2	Mg Ka		LTAP	38513	-1150	1150	   	1328	3103	3	560	 	Inte
Sp4	Si Ka		TAP	27738	   	750	1.1	1321	3092	3	560	 	Inte
Sp5	Fe Ka		LLIF	48085	   	950	1.1	1845	453	3	560	 	Inte
Sp2	Al Ka		LTAP	32477	   	800	1.2	1324	3225	3	560	 	Inte
Sp1	Ca Ka		PET	38397	   	700	1.1	1305	1012	3	560	 	Inte
Sp3	Ti Ka		LPET	31409	   	650	1.05	1859	1046	3	560	 	Inte
Sp3	Cr Ka		LPET	26139	-500	500	   	1861	1057	3	560	 	Inte
Sp5	Mn Ka		LLIF	52195	-550	550	   	1845	450	3	560	 	Inte
Sp5	Ni Ka		LLIF	41180	-550	550	   	1843	453	3	560	 	Inte
Sp1	P  Ka		PET	70368	-600	450	   	1313	1005	3	560	 	Inte
Peak Position :  Sp2 38513 (-1150, 1150),  Sp4 27738 (750, Slope = 1.1),  Sp5 48085 (950, Slope = 1.1),  Sp2 32477 (800, Slope = 1.2),  Sp1 38397 (700, Slope = 1.1),  Sp3 31409 (650, Slope = 1.05),  Sp3 26139 (-500, 500),  Sp5 52195 (-550, 550),  Sp5 41180 (-550, 550),  Sp1 70368 (-600, 450)
Current Sample Position :  X = 7491 Y = 31576 Z = 35 BeamX = 0.00 BeamX = 0.00
Standard Name : 
Mg ,Si ,Ca On Wakefield diopside
Fe On RKFAYb7
Al On Ortho_1
Ti On RUTILE_6
Cr On MgCr2O4
Mn On Rhodonite
Ni On diop_ni
P  On Berlinite
Standard composition : 
Wakefield diopside = Si : 25.94%, O  : 44.43%, Na : 0.02%, Mg : 11.22%, Al : 0.02%, Ca : 18.53%, Ti : 0.02%, Mn : 0.02%, Fe : 0.09%
RKFAYb7 = Si : 13.84%, O  : 31.37%, Mg : 0.06%, Al : 0.05%, Ca : 0.02%, Mn : 1.55%, Fe : 52.62%, Zn : 0.38%
Ortho_1 = Si : 30.10%, Al : 9.83%, Na : 0.85%, K  : 12.39%, Ba : 0.70%, O  : 45.94%
RUTILE_6 = Ti : 59.95%, O  : 40.05%
MgCr2O4 = Mg : 12.64%, Cr : 54.08%, O  : 33.28%
Rhodonite = Si : 21.98%, Fe : 1.80%, Ca : 1.06%, Mg : 2.36%, Mn : 35.01%, O  : 37.73%
diop_ni = Si : 24.91%, Al : 0.45%, Fe : 0.12%, Mg : 8.62%, Ca : 17.87%, Ni : 5.06%, O  : 43.01%
Berlinite = Al : 22.12%, P  : 25.40%, O  : 52.48%
Calibration file name (Element intensity cps/nA) : 
Mg ,Si : Other\Wakefield diopside_15kV_MgKa-Sp2-LTAP_SiKa-Sp4-TAP_CaKa-Sp1-PET_002.calDat (Mg : 349.7 cps/nA, Si : 559.4 cps/nA)
Fe : Other\RKFAYb7_15kV_FeKa-Sp5-LLIF_015.calDat (Fe : 317.4 cps/nA)
Al : Other\Ortho_1_15kV_AlKa-Sp2-LTAP_001.calDat (Al : 445.2 cps/nA)
Ca : Other\Wakefield diopside_15kV_CaKa-Sp1-PET_001.calDat (Ca : 97.1 cps/nA)
Ti : Other\RUTILE_6_15kV_TiKa-Sp3-LPET_011.calDat (Ti : 1574.6 cps/nA)
Cr : Other\MgCr2O4_15kV_MgKa-Sp2-LTAP_CrKa-Sp3-LPET_003.calDat (Cr : 1503.7 cps/nA)
Mn : Other\Rhodonite_15kV_MnKa-Sp5-LLIF_005.calDat (Mn : 190.8 cps/nA)
Ni : Other\diop_ni_15kV_NiKa-Sp5-LLIF_004.calDat (Ni : 25.4 cps/nA)
P  : Other\Berlinite_15kV_PKa-Sp1-PET_005.calDat (P  : 62.4 cps/nA)
Beam Size : 1, 1 ?m

	StdDev wt%	

DataSet/Point	Mg	Si	Fe	Al	Ca	Ti	Cr	Mn	Ni	P 	O 	Mg	Si	Fe	Al	Ca	Ti	Cr	Mn	Ni	P 	O 	Mg	Si	Fe	Al	Ca	Ti	Cr	Mn	Ni	P 	O 	Total	Mg	Si	Fe	Al	Ca	Ti	Cr	Mn	Ni	P 	O 	Total	MgO	SiO2	FeO	Al2O3	CaO	TiO2	Cr2O3	MnO	NiO	P2O5	Total	Mg	Si	Fe	Al	Ca	Ti	Cr	Mn	Ni	P 	O 	Mg	Si	Fe	Al	Ca	Ti	Cr	Mn	Ni	P 	O 	 X 	 Y 	 Z 	 Beam X 	 Beam Y 	Comment	Distance (?)	Mean Z	Point#	Date
1 / 1 . 	9.961200	9.961200	9.961200	100.833100	100.833100	100.833100	100.833100	100.833100	100.833100	100.833100		10.000000	10.000000	10.000000	60.000000	40.000000	30.000000	30.000000	30.000000	30.000000	30.000000		29.881560	18.787620	7.652898	0.013581	0.066203	0.003434	0.007447	0.103642	0.285150	0.008180	43.432320	100.242000	25.832240	14.055430	2.879259	0.010576	0.034706	0.001506	0.003009	0.039638	0.102051	0.005549	57.036030	100.000000	49.552530	40.193740	9.845422	0.025662	0.092631	0.005728	0.010884	0.133826	0.362860	0.018744	100.242000	368	517	1378	36	135	78	78	137	184	119		0.424574	0.379109	0.389795	0.003115	0.012483	0.006512	0.006525	0.013760	0.021694	0.010469		7491.0	31576.0	35.0	 	 	San_Carlos_WDS_1	0.00	11.804920	1	Wednesday, July 8, 2020 11:54:05 PM	
2 / 1 . 	9.906300	9.906300	9.906300	100.314300	100.314300	100.314300	100.314300	100.314300	100.314300	100.314300		10.000000	10.000000	10.000000	60.000000	40.000000	30.000000	30.000000	30.000000	30.000000	30.000000		29.488260	18.945480	7.780828	0.014323	0.072419	0.007076	0.010411	0.115724	0.306406	0.008266	43.406300	100.155500	25.540530	14.200370	2.932934	0.011175	0.038037	0.003110	0.004215	0.044343	0.109866	0.005618	57.109800	100.000000	48.900330	40.531470	10.010000	0.027064	0.101329	0.011802	0.015216	0.149426	0.389910	0.018942	100.155500	372	551	1332	36	132	78	77	136	181	123		0.421153	0.382045	0.392795	0.003112	0.012316	0.006565	0.006510	0.013968	0.022066	0.010772		7465.0	31569.0	35.0	 	 	San_Carlos_WDS_2	26.93	11.822840	2	Wednesday, July 8, 2020 11:58:32 PM	
3 / 1 . 	9.920000	9.920000	9.920000	100.817800	100.817800	100.817800	100.817800	100.817800	100.817800	100.817800		10.000000	10.000000	10.000000	60.000000	40.000000	30.000000	30.000000	30.000000	30.000000	30.000000		25.326310	18.274390	14.783370	0.025963	0.131620	0.025673	0.007624	0.124113	0.093966	0.027789	41.922950	100.743800	22.715430	14.184210	5.770560	0.020977	0.071588	0.011684	0.003196	0.049248	0.034890	0.019558	57.118660	100.000000	41.998580	39.095750	19.018740	0.049057	0.184163	0.042823	0.011143	0.160260	0.119574	0.063677	100.743800	363	514	1447	37	137	80	77	145	185	121		0.381891	0.371394	0.551989	0.003278	0.013704	0.006889	0.006509	0.014699	0.017314	0.011805		13402.0	-2872.0	-17.0	 	 	AZ18_OL36_MI1adj_1	34951.50	12.893770	3	Thursday, July 9, 2020 12:02:55 AM	
4 / 1 . 	9.923000	9.923000	9.923000	100.253300	100.253300	100.253300	100.253300	100.253300	100.253300	100.253300		10.000000	10.000000	10.000000	60.000000	40.000000	30.000000	30.000000	30.000000	30.000000	30.000000		27.469330	18.312870	11.804000	0.017371	0.108095	0.013467	0.013528	0.141907	0.180639	0.001725	42.496640	100.559600	24.257000	13.994550	4.536427	0.013818	0.057884	0.006034	0.005584	0.055439	0.066036	0.001195	57.006040	100.000000	45.552340	39.178070	15.185790	0.032823	0.151246	0.022464	0.019772	0.183235	0.229867	0.003953	100.559600	383	475	1288	37	135	78	78	137	185	123		0.402732	0.372183	0.485917	0.003221	0.013193	0.006656	0.006571	0.014549	0.019261	0.010339		11450.0	-3805.0	-7.0	 	 	AZ18_OL35_MI1adj_1	35601.83	12.445290	4	Thursday, July 9, 2020 12:07:18 AM	
5 / 1 . 	9.923000	9.923000	9.923000	100.726300	100.726300	100.726300	100.726300	100.726300	100.726300	100.726300		10.000000	10.000000	10.000000	60.000000	40.000000	30.000000	30.000000	30.000000	30.000000	30.000000		23.536990	17.889970	17.458170	0.014478	0.176785	0.013750	0.000010	0.327038	0.032078	0.027883	41.112050	100.589200	21.519370	14.154730	6.946611	0.011924	0.098015	0.006379	0.000004	0.132282	0.012141	0.020004	57.098540	99.999980	39.031360	38.273330	22.459870	0.027356	0.247357	0.022936	0.000015	0.422284	0.040820	0.063892	100.589200	373	524	1468	38	136	81		142	193	124		0.364703	0.365845	0.605551	0.003237	0.014352	0.006877	-0.000034	0.018073	0.016686	0.012069		15067.0	7818.0	-40.0	 	 	C6_ol5_MIadj	24936.80	13.292310	5	Thursday, July 9, 2020 12:11:44 AM	
6 / 1 . 	9.924600	9.924600	9.924600	100.817800	100.817800	100.817800	100.817800	100.817800	100.817800	100.817800		10.000000	10.000000	10.000000	60.000000	40.000000	30.000000	30.000000	30.000000	30.000000	30.000000		23.340540	17.518810	18.172650	0.006102	0.171178	0.010742	0.000010	0.356433	0.025570	0.024731	40.755550	100.382300	21.487670	13.957140	7.281023	0.005060	0.095564	0.005018	0.000004	0.145171	0.009745	0.017866	56.995740	100.000000	38.705570	37.479280	23.379040	0.011530	0.239513	0.017918	0.000015	0.460239	0.032539	0.056668	100.382300	368	472	1465	38	135	81		143	190	129		0.363109	0.360383	0.619300	0.003185	0.014212	0.006860	-0.000015	0.018604	0.016275	0.012207		11527.0	5095.0	-20.0	 	 	C6_ol12_MIadj	26786.86	13.376200	6	Thursday, July 9, 2020 12:16:12 AM	
7 / 1 . 	9.926100	9.926100	9.926100	100.848400	100.848400	100.848400	100.848400	100.848400	100.848400	100.848400		10.000000	10.000000	10.000000	60.000000	40.000000	30.000000	30.000000	30.000000	30.000000	30.000000		23.731540	17.521470	16.896760	0.007018	0.202325	0.008075	0.000010	0.329420	0.038438	0.008760	40.636930	99.380750	21.916830	14.003480	6.791269	0.005838	0.113310	0.003784	0.000004	0.134594	0.014696	0.006348	57.009850	100.000000	39.353980	37.484970	21.737610	0.013260	0.283093	0.013470	0.000015	0.425359	0.048914	0.020072	99.380740	368	490	1689	38	138	80		146	191	123		0.366597	0.360739	0.598549	0.003185	0.014922	0.006753	-0.000043	0.018373	0.016601	0.010812		9879.0	4893.0	-12.0	 	 	C6_ol11_MIadj	26789.69	13.082490	7	Thursday, July 9, 2020 12:20:34 AM	
8 / 1 . 	9.903200	9.903200	9.903200	100.115900	100.115900	100.115900	100.115900	100.115900	100.115900	100.115900		10.000000	10.000000	10.000000	60.000000	40.000000	30.000000	30.000000	30.000000	30.000000	30.000000		23.447290	17.458420	18.002370	0.005606	0.156695	0.017308	0.001201	0.353422	0.031184	0.011859	40.690980	100.176300	21.612240	13.925970	7.221583	0.004654	0.087585	0.008095	0.000517	0.144120	0.011899	0.008577	56.974760	100.000000	38.882610	37.350080	23.159970	0.010592	0.219247	0.028870	0.001755	0.456352	0.039682	0.027173	100.176300	368	555	1596	38	139	80	78	143	192	131		0.364419	0.360702	0.618766	0.003222	0.014251	0.006847	0.006490	0.018609	0.016574	0.011640		14067.0	650.0	-27.0	 	 	C8_ol11_MIadj	31617.48	13.328780	8	Thursday, July 9, 2020 12:24:58 AM	
9 / 1 . 	9.961200	9.961200	9.961200	100.680500	100.680500	100.680500	100.680500	100.680500	100.680500	100.680500		10.000000	10.000000	10.000000	60.000000	40.000000	30.000000	30.000000	30.000000	30.000000	30.000000		23.484030	17.735880	17.784010	0.007644	0.162502	0.015929	0.000010	0.372847	0.025423	0.018362	40.983890	100.590500	21.518730	14.064040	7.092011	0.006310	0.090296	0.007406	0.000004	0.151146	0.009644	0.013203	57.047210	100.000000	38.943530	37.943680	22.879050	0.014444	0.227373	0.026570	0.000015	0.481433	0.032351	0.042074	100.590500	364	508	1587	37	139	81		144	190	129		0.363939	0.363204	0.613032	0.003151	0.014333	0.006861	-0.000083	0.018907	0.016281	0.011856		12324.0	1036.0	-20.0	 	 	C8_ol12_MIadj	30920.10	13.343750	9	Thursday, July 9, 2020 12:29:30 AM	
10 / 1 . 	9.915400	9.915400	9.915400	100.741500	100.741500	100.741500	100.741500	100.741500	100.741500	100.741500		10.000000	10.000000	10.000000	60.000000	40.000000	30.000000	30.000000	30.000000	30.000000	30.000000		22.993170	17.784790	17.857340	0.008693	0.161483	0.010229	0.000010	0.360879	0.024481	0.021164	40.734080	99.956320	21.224950	14.207250	7.173983	0.007228	0.090394	0.004791	0.000004	0.147378	0.009355	0.015330	57.119330	100.000000	38.129540	38.048320	22.973390	0.016425	0.225946	0.017063	0.000015	0.465981	0.031152	0.048495	99.956310	372	529	1655	37	140	82		144	192	121		0.359291	0.364471	0.616767	0.003125	0.014391	0.006899	-0.000054	0.018707	0.016424	0.011425		12916.0	2224.0	-20.0	 	 	C8_ol10_MIadj	29849.18	13.286620	10	Thursday, July 9, 2020 12:33:50 AM	
