FileName :  HT_CPX_102821.qtiDat
Signal(s) Used : Al Ka, P  Ka, Ca Ka, Ti Ka, Mn Ka, Ni Ka, Cr Ka, Mg Ka EDS, Si Ka EDS, Fe Ka EDS
Spectrometers Conditions :  Sp2 LTAP,  Sp3 LPET,  Sp1 PET,  Sp3 LPET,  Sp5 LLIF,  Sp5 LLIF,  Sp1 PET,  EDS ,  EDS ,  EDS 
Full Spectrometers Conditions :  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp1 PET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp1 PET(2d= 8.75,K= 0.000144),  EDS ,  EDS ,  EDS 
Column Conditions : Cond 1 : 15keV 100nA 
Date : Oct-29-2021
User Name : SX978-PC\SX
Setup Name : D:\sxpc\Analysis Setups\Quanti\HT_olivine_102821.qtiSet
DataSet Comment : AZ18_WHT01_slab_olivine_zoning_63
Comment :  
Analysis Date : Friday, October 29, 2021 11:05:36 AM
Project Name : Default Project
Sample Name : Default Sample
Analysis Parameters : 	
Sp	Elements	Xtal	Position	Bg1	Bg2	Slope	Bias	Gain	Dtime	Blin	Wind	Mode	
Sp2	Al Ka		LTAP	32478	   	800	1.2	1314	2941	3	560	 	Inte
Sp3	P  Ka		LPET	70347	-500	500	   	1846	1005	3	560	 	Inte
Sp1	Ca Ka		PET	38397	   	700	1.1	1308	1042	3	560	 	Inte
Sp3	Ti Ka		LPET	31406	   	650	1.05	1855	1046	3	560	 	Inte
Sp5	Mn Ka		LLIF	52193	   	650	1.05	1821	412	3	560	 	Inte
Sp5	Ni Ka		LLIF	41180	-550	550	   	1820	384	3	560	 	Inte
Sp1	Cr Ka		PET	26194	-500	500	   	1308	1031	3	560	 	Inte
Peak Position :  Sp2 32478 (800, Slope = 1.2),  Sp3 70347 (-500, 500),  Sp1 38397 (700, Slope = 1.1),  Sp3 31406 (650, Slope = 1.05),  Sp5 52193 (650, Slope = 1.05),  Sp5 41180 (-550, 550),  Sp1 26194 (-500, 500)
Current Sample Position :  X = 10165 Y = 13097 Z = -15 BeamX = -7.60 BeamX = 35.60
Standard Name : 
Al ,Ca On anorthite
P  On Apatite
Ti On TiO2
Mn On Rhodon 41522 AMNH
Ni On diop_ni
Cr On MgCr2O4
Mg ,Si On OlivSanCarl
Fe On RKFAYb7
Standard composition : 
anorthite = Si : 20.61%, Ti : 0.01%, Al : 18.77%, Fe : 0.36%, Mg : 0.05%, Ca : 13.90%, Na : 0.30%, P  : 0.01%, Ba : 0.01%, Sr : 0.03%, O  : 45.98%
Apatite = Si : 0.12%, Al : 0.01%, Fe : 0.05%, Ca : 39.27%, Na : 0.18%, P  : 17.77%, F  : 3.40%, Sr : 0.39%, S  : 0.24%, O  : 39.27%
TiO2 = Ti : 59.95%, O  : 40.05%
Rhodon 41522 AMNH = O  : 37.73%, Mg : 2.36%, Si : 21.98%, Ca : 1.06%, Mn : 35.01%, Fe : 1.80%
diop_ni = Si : 24.91%, Al : 0.45%, Fe : 0.12%, Mg : 8.62%, Ca : 17.87%, Ni : 5.06%, O  : 43.01%
MgCr2O4 = Mg : 12.64%, Cr : 54.08%, O  : 33.28%
OlivSanCarl = O  : 43.28%, Mg : 29.80%, Si : 19.08%, Ca : 0.02%, Mn : 0.11%, Fe : 7.42%, Ni : 0.00%
RKFAYb7 = Si : 13.84%, O  : 31.37%, Mg : 0.06%, Al : 0.05%, Ca : 0.02%, Mn : 1.55%, Fe : 52.62%, Zn : 0.38%
Calibration file name (Element intensity cps/nA) : 
Al ,Ca : Other\anorthite_15kV_AlKa-Sp2-LTAP_CaKa-Sp1-PET_013.calDat (Al : 744.3 cps/nA, Ca : 75.1 cps/nA)
P  : Other\Apatite_15kV_PKa-Sp3-LPET_014.calDat (P  : 105.9 cps/nA)
Ti : Other\TiO2_15kV_TiKa-Sp3-LPET_034.calDat (Ti : 1344.4 cps/nA)
Mn : Other\Rhodon 41522 AMNH_15kV_MnKa-Sp5-LLIF_027.calDat (Mn : 191.3 cps/nA)
Ni : Other\diop_ni_15kV_NiKa-Sp5-LLIF_043.calDat (Ni : 24.9 cps/nA)
Cr : Other\MgCr2O4_15kV_CrKa-Sp1-PET_016.calDat (Cr : 248.0 cps/nA)
Mg ,Si : Other\OlivSanCarl_15kV_001.calDat (Mg : 141.9 cps/nA, Si : 82.0 cps/nA)
Fe : Other\RKFAYb7_15kV_003.calDat (Fe : 51.3 cps/nA)
Beam Size : 0 ?m

	Beam curr (nA)	Weight%	Atomic%	Oxide	Det.Lim ppm(A)	StdDev wt%	

DataSet/Point	Na	Mg	Si	Ca	Cr	Fe	K 	Al	P 	Ti	Mn	Ni	O 	Na	Mg	Si	Ca	Cr	Fe	K 	Al	P 	Ti	Mn	Ni	O 	Total	Na	Mg	Si	Ca	Cr	Fe	K 	Al	P 	Ti	Mn	Ni	O 	Total	Na2O	MgO	SiO2	CaO	Cr2O3	FeO	K2O	Al2O3	P2O5	TiO2	MnO	NiO	Total	Na	Mg	Si	Ca	Cr	Fe	K 	Al	P 	Ti	Mn	Ni	O 	Na	Mg	Si	Ca	Cr	Fe	K 	Al	P 	Ti	Mn	Ni	O 	 X 	 Y 	 Z 	 Beam X 	 Beam Y 	Comment	Distance (?)	Mean Z	Point#	Date
1 / 1 . 	21.529200	21.529200	21.529200	21.529200	21.529200	21.529200	21.529200	97.949100	97.949100	97.949100	97.949100	97.949100		0.313907	7.909461	21.849840	16.079850	0.769298	4.784058	0.000010	4.252370	0.005580	1.670109	0.067141	0.041145	43.292080	101.034800	0.302147	7.201192	17.215490	8.877840	0.327399	1.895614	0.000006	3.487526	0.003987	0.771547	0.027044	0.015508	59.874700	100.000000	0.423140	13.116250	46.744980	22.498920	1.124384	6.154671	0.000012	8.034825	0.012787	2.785836	0.086695	0.052358	101.034800	274	153	246	511	642	567		86	80	101	185	194		0.040142	0.106101	0.329329	0.376964	0.082312	0.147522	-0.000058	0.040216	0.006904	0.018581	0.016657	0.016962		-20233.0	6974.0	-9.0	 	 	AZ18_WHT01_slab_cpx1_ext_01	0.00	13.099840	1	Thursday, October 28, 2021 7:32:05 PM	
2 / 1 . 	21.265200	21.265200	21.265200	21.265200	21.265200	21.265200	21.265200	105.822900	105.822900	105.822900	105.822900	105.822900		0.401166	9.373024	23.388870	15.839340	0.776502	2.245507	0.003094	3.776981	0.003438	0.694310	0.049022	0.047758	44.139110	100.738100	0.379237	8.381185	18.098740	8.588762	0.324559	0.873848	0.001720	3.042282	0.002413	0.315021	0.019393	0.017679	59.955160	100.000000	0.540764	15.543270	50.037530	22.162400	1.134914	2.888835	0.003727	7.136582	0.007879	1.158149	0.063299	0.060773	100.738100	223	151	237	469	597	542	155	79	76	93	169	185		0.041412	0.119291	0.350320	0.373964	0.080726	0.105010	0.013028	0.036013	0.006477	0.012745	0.014976	0.016274		-17170.0	14054.0	-33.0	 	 	AZ18_WHT01_slab_cpx2_ext_02	7714.20	12.583010	2	Thursday, October 28, 2021 7:37:28 PM	
3 / 1 . 	19.666100	19.666100	19.666100	19.666100	19.666100	19.666100	19.666100	97.674400	97.674400	97.674400	97.674400	97.674400		0.331521	8.803882	22.696170	16.604370	1.144193	2.362902	0.004761	4.705668	0.006558	0.866757	0.040452	0.038067	44.400210	102.005500	0.311281	7.819060	17.444010	8.942739	0.475013	0.913318	0.002629	3.764701	0.004571	0.390605	0.015895	0.013996	59.902190	100.000000	0.446884	14.599460	48.555580	23.232830	1.672321	3.039864	0.005735	8.891330	0.015028	1.445799	0.052234	0.048441	102.005500	253	161	243	483	623	572	163	87	75	100	178	195		0.040834	0.116729	0.343942	0.394404	0.095901	0.111693	0.013749	0.043624	0.006586	0.014392	0.015603	0.016919		-16974.0	13931.0	-31.0	 	 	AZ18_WHT01_slab_cpx3_ext_03	7682.54	12.857330	3	Thursday, October 28, 2021 7:42:39 PM	
4 / 1 . 	19.685900	19.685900	19.685900	19.685900	19.685900	19.685900	19.685900	98.635800	98.635800	98.635800	98.635800	98.635800		0.344035	8.990609	23.327350	16.287180	0.789609	2.327655	0.075941	3.745504	0.003468	0.746668	0.035768	0.043605	44.022690	100.740100	0.326172	8.062560	18.103500	8.857225	0.330995	0.908444	0.042335	3.025680	0.002440	0.339760	0.014191	0.016188	59.970500	100.000000	0.463752	14.909110	49.905910	22.789030	1.154071	2.994519	0.091479	7.077107	0.007946	1.245484	0.046185	0.055489	100.740100	248	161	244	465	635	527	164	82	80	97	182	192		0.041111	0.118386	0.352223	0.388588	0.085067	0.109412	0.017221	0.036258	0.006778	0.013543	0.015831	0.016835		-15865.0	13259.0	-27.0	 	 	AZ18_WHT01_slab_cpx_ext_04	7653.82	12.643780	4	Thursday, October 28, 2021 7:47:54 PM	
5 / 1 . 	19.722500	19.722500	19.722500	19.722500	19.722500	19.722500	19.722500	98.590000	98.590000	98.590000	98.590000	98.590000		0.387794	9.051056	22.960330	16.211840	1.176781	2.272920	0.003327	3.783686	0.005446	0.756107	0.047375	0.055974	43.827210	100.539800	0.368951	8.145294	17.881300	8.847238	0.495027	0.890200	0.001861	3.067267	0.003846	0.345264	0.018862	0.020854	59.914040	100.000000	0.522738	15.009350	49.120720	22.683600	1.719951	2.924102	0.004008	7.149251	0.012478	1.261229	0.061173	0.071229	100.539800	282	160	253	486	642	524	163	82	78	98	175	190		0.044540	0.118952	0.347332	0.387131	0.097677	0.108102	0.013700	0.036559	0.006727	0.013628	0.015477	0.016904		-16448.0	12910.0	-27.0	 	 	AZ18_WHT01_slab_cpx_ext_05	7040.07	12.652350	5	Thursday, October 28, 2021 7:53:09 PM	
6 / 1 . 	19.589800	19.589800	19.589800	19.589800	19.589800	19.589800	19.589800	97.918600	97.918600	97.918600	97.918600	97.918600		0.265352	9.315942	23.265650	16.541690	0.740072	2.113765	0.003033	3.634776	0.004562	0.731641	0.034921	0.046306	44.035090	100.732800	0.251361	8.347230	18.040320	8.988006	0.309967	0.824267	0.001689	2.933743	0.003208	0.332639	0.013843	0.017177	59.936550	100.000000	0.357689	15.448610	49.773920	23.145130	1.081668	2.719350	0.003653	6.867886	0.010454	1.220418	0.045091	0.058926	100.732800	268	165	254	529	663	567	168	82	78	99	180	193		0.038342	0.121531	0.351633	0.394221	0.085006	0.106645	0.014098	0.035482	0.006681	0.013560	0.015697	0.016965		-15176.0	13335.0	-27.0	 	 	AZ18_WHT01_slab_cpx_ext_06	8126.25	12.619070	6	Thursday, October 28, 2021 7:58:23 PM	
7 / 1 . 	19.640100	19.640100	19.640100	19.640100	19.640100	19.640100	19.640100	106.891000	106.891000	106.891000	106.891000	106.891000		0.202209	9.868290	23.938880	16.530240	0.524738	2.131789	0.000010	2.959044	0.002879	0.578854	0.041919	0.052413	44.342770	101.174000	0.190265	8.782960	18.438100	8.921671	0.218307	0.825732	0.000006	2.372353	0.002011	0.261414	0.016506	0.019312	59.951360	100.000000	0.272573	16.364570	51.214200	23.129120	0.766942	2.742538	0.000012	5.591095	0.006598	0.965561	0.054128	0.066697	101.174000	269	160	252	517	660	553		76	78	95	173	181		0.035168	0.126426	0.360466	0.393795	0.077132	0.106430	-0.000173	0.029732	0.006634	0.012084	0.015165	0.016067		-14932.0	13294.0	-23.0	 	 	AZ18_WHT01_slab_cpx_ext_07	8248.83	12.629170	7	Thursday, October 28, 2021 8:03:40 PM	
8 / 1 . 	21.150800	21.150800	21.150800	21.150800	21.150800	21.150800	21.150800	106.341700	106.341700	106.341700	106.341700	106.341700		0.415827	10.251080	24.781070	15.917350	0.414560	2.378977	0.000010	2.219868	0.003964	0.177458	0.071932	0.042392	44.485730	101.160200	0.389949	9.092939	19.022520	8.561961	0.171889	0.918376	0.000006	1.773743	0.002759	0.079871	0.028228	0.015567	59.942180	100.000000	0.560527	16.999350	53.015980	22.271560	0.605909	3.060544	0.000012	4.194427	0.009084	0.296011	0.092882	0.053945	101.160200	261	160	252	476	609	528		73	77	95	170	184		0.043530	0.127515	0.369014	0.376115	0.068647	0.107415	-0.000030	0.024093	0.006580	0.009348	0.015475	0.016082		-14659.0	13128.0	-23.0	 	 	AZ18_WHT01_slab_large_cpx_ext_08	8303.10	12.563650	8	Thursday, October 28, 2021 8:08:57 PM	
9 / 1 . 	21.193500	21.193500	21.193500	21.193500	21.193500	21.193500	21.193500	99.047800	99.047800	99.047800	99.047800	99.047800		0.407575	10.336610	24.854000	15.977150	0.399486	2.404379	0.007412	2.201823	0.006100	0.189187	0.074847	0.037581	44.642030	101.538200	0.380815	9.135351	19.008880	8.562767	0.165034	0.924795	0.004072	1.752904	0.004230	0.084839	0.029265	0.013750	59.933290	100.000000	0.549402	17.141190	53.171980	22.355230	0.583878	3.093224	0.008929	4.160330	0.013977	0.315574	0.096645	0.047823	101.538200	249	158	244	447	621	530	154	75	79	96	173	191		0.042681	0.128211	0.369879	0.376776	0.068768	0.107881	0.013132	0.024394	0.006817	0.009626	0.015908	0.016599		-14243.0	13387.0	-23.0	 	 	AZ18_WHT01_slab_large_cpx_ext_09	8775.36	12.612010	9	Thursday, October 28, 2021 8:14:09 PM	
10 / 1 . 	20.035400	20.035400	20.035400	20.035400	20.035400	20.035400	20.035400	100.070100	100.070100	100.070100	100.070100	100.070100		0.552960	9.761896	24.029220	15.543660	0.907983	2.027310	0.000784	3.189815	0.002805	0.448827	0.042465	0.043314	44.366990	100.918000	0.520051	8.684126	18.498870	8.385193	0.377568	0.784888	0.000433	2.556149	0.001958	0.202596	0.016713	0.015951	59.955510	100.000000	0.745379	16.188140	51.407490	21.748690	1.327083	2.608126	0.000944	6.027135	0.006427	0.748668	0.054832	0.055118	100.918000	261	159	248	456	648	547	166	80	77	97	174	189		0.049841	0.124830	0.361025	0.373632	0.089174	0.103206	0.013826	0.031950	0.006504	0.011563	0.015338	0.016595		-14647.0	13448.0	-23.0	 	 	AZ18_WHT01_slab_cpx_ext_10A	8550.81	12.536180	10	Thursday, October 28, 2021 8:19:28 PM	
